locus_tag	ftype	length_bp	gene	EC_number	COG	product
DDJNIECG_02027	CDS	600	desR_1		COG2197	Transcriptional regulatory protein DesR
DDJNIECG_02028	CDS	864	yocH		COG1388	Cell wall-binding protein YocH
DDJNIECG_02029	CDS	1776	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
DDJNIECG_02030	CDS	627	azoR1	1.7.-.-	COG1182	FMN-dependent NADH-azoreductase 1
DDJNIECG_02031	CDS	492	yocK		COG1734	General stress protein 16O
DDJNIECG_02032	CDS	333				hypothetical protein
DDJNIECG_02033	CDS	228				hypothetical protein
DDJNIECG_02034	CDS	477				hypothetical protein
DDJNIECG_02035	CDS	264				hypothetical protein
DDJNIECG_02036	CDS	234				hypothetical protein
DDJNIECG_02037	CDS	345				hypothetical protein
DDJNIECG_02038	CDS	204				hypothetical protein
DDJNIECG_02039	CDS	1488	styD	1.2.1.39		Phenylacetaldehyde dehydrogenase
DDJNIECG_02040	CDS	1899	sqhC	4.2.1.137	COG1657	Sporulenol synthase
DDJNIECG_02041	CDS	846				hypothetical protein
DDJNIECG_02042	CDS	1338				hypothetical protein
DDJNIECG_02043	CDS	966	panS_2		COG0385	Pantothenate precursors transporter PanS
DDJNIECG_02044	CDS	1254	odhB	2.3.1.61		Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
DDJNIECG_02045	CDS	2835	odhA	1.2.4.2		2-oxoglutarate dehydrogenase E1 component
DDJNIECG_02046	CDS	1917				hypothetical protein
DDJNIECG_02047	CDS	891				hypothetical protein
DDJNIECG_02048	CDS	591	yojM		COG2032	Superoxide dismutase-like protein YojM
DDJNIECG_02049	CDS	1245	cwlS	3.4.19.11	COG0791	D-gamma-glutamyl-meso-diaminopimelic acid endopeptidase CwlS
DDJNIECG_02050	CDS	1218	oleD_2	2.4.1.-		Oleandomycin glycosyltransferase
DDJNIECG_02051	CDS	615	cdaS	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaS
DDJNIECG_02052	CDS	111				hypothetical protein
DDJNIECG_02053	CDS	1359	norM		COG0534	Multidrug resistance protein NorM
DDJNIECG_02054	CDS	849	rsbRC		COG1366	RsbT co-antagonist protein RsbRC
DDJNIECG_02055	CDS	666	bshB2	3.5.1.-	COG2120	putative N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 2
DDJNIECG_02056	CDS	351	yojF			putative protein YojF
DDJNIECG_02057	CDS	279				hypothetical protein
DDJNIECG_02058	CDS	897	rarD		COG2962	Protein RarD
DDJNIECG_02059	CDS	474	gerT			Spore germination protein GerT
DDJNIECG_02060	CDS	237				hypothetical protein
DDJNIECG_02061	CDS	1335	gntT		COG2610	High-affinity gluconate transporter
DDJNIECG_02062	CDS	390				hypothetical protein
DDJNIECG_02063	CDS	339	yodB_1		COG1733	HTH-type transcriptional regulator YodB
DDJNIECG_02064	CDS	609	yodC_2	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YodC
DDJNIECG_02065	CDS	603	mhqD	3.1.-.-	COG0400	Putative hydrolase MhqD
DDJNIECG_02066	CDS	912	mhqE	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqE
DDJNIECG_02067	CDS	201				hypothetical protein
DDJNIECG_02068	CDS	1491	yodF_2		COG0591	putative symporter YodF
DDJNIECG_02069	CDS	1401	ctpA	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpA
DDJNIECG_02070	CDS	702	ubiE_2	2.1.1.163		Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
DDJNIECG_02071	CDS	252				hypothetical protein
DDJNIECG_02072	CDS	822	yodJ	3.4.-.-	COG1876	Putative carboxypeptidase YodJ
DDJNIECG_02073	CDS	702	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
DDJNIECG_02074	CDS	126				hypothetical protein
DDJNIECG_02075	CDS	315				hypothetical protein
DDJNIECG_02076	CDS	612	pgpB	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
DDJNIECG_02077	CDS	177				hypothetical protein
DDJNIECG_02078	CDS	144				hypothetical protein
DDJNIECG_02079	CDS	681				hypothetical protein
DDJNIECG_02080	CDS	225				hypothetical protein
DDJNIECG_02081	CDS	279				hypothetical protein
DDJNIECG_02082	CDS	1416	kamA	5.4.3.2	COG1509	L-lysine 2,3-aminomutase
DDJNIECG_02083	CDS	828	yodP	2.3.1.-		N-acetyltransferase YodP
DDJNIECG_02084	CDS	1305	ylmB_2	3.5.1.-	COG0624	N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase
DDJNIECG_02085	CDS	654	scoB_1	2.8.3.5	COG2057	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B
DDJNIECG_02086	tRNA	97				tRNA-Asn(gtt)
DDJNIECG_02087	CDS	1335	spuC	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
DDJNIECG_02088	CDS	156				hypothetical protein
DDJNIECG_02089	CDS	114				hypothetical protein
DDJNIECG_02090	CDS	780				hypothetical protein
DDJNIECG_02091	CDS	1281				hypothetical protein
DDJNIECG_02092	CDS	306				hypothetical protein
DDJNIECG_02093	CDS	402				hypothetical protein
DDJNIECG_02094	CDS	954				hypothetical protein
DDJNIECG_02095	CDS	1149	phy	3.1.3.8	COG4247	3-phytase
DDJNIECG_02096	CDS	1026	pseB	4.2.1.115	COG1086	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
DDJNIECG_02097	CDS	432	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
DDJNIECG_02098	CDS	534	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
DDJNIECG_02099	CDS	426				hypothetical protein
DDJNIECG_02100	CDS	1338	mepA_2			Multidrug export protein MepA
DDJNIECG_02101	CDS	195				hypothetical protein
DDJNIECG_02102	CDS	564				hypothetical protein
DDJNIECG_02103	CDS	768	lipC_2	3.-.-.-	COG2755	Spore germination lipase LipC
DDJNIECG_02104	CDS	582	ypmQ		COG1999	SCO1 protein 
DDJNIECG_02105	CDS	252				hypothetical protein
DDJNIECG_02106	CDS	1269	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
DDJNIECG_02107	CDS	996	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
DDJNIECG_02108	CDS	642				hypothetical protein
DDJNIECG_02109	CDS	621				hypothetical protein
DDJNIECG_02110	CDS	507				IS1595 family transposase ISSsu9
DDJNIECG_02111	CDS	795	thyA2	2.1.1.45	COG0207	Thymidylate synthase 2
DDJNIECG_02112	CDS	534	ypjQ_1		COG1267	putative protein YpjQ
DDJNIECG_02113	CDS	612				hypothetical protein
DDJNIECG_02114	CDS	774	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
DDJNIECG_02115	CDS	435				hypothetical protein
DDJNIECG_02116	CDS	1677	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
DDJNIECG_02117	CDS	1134				hypothetical protein
DDJNIECG_02118	CDS	618	yedJ		COG1418	putative protein YedJ
DDJNIECG_02119	CDS	483	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
DDJNIECG_02120	CDS	906	metAA	2.3.1.31		Homoserine O-acetyltransferase
DDJNIECG_02121	CDS	1149	ugtP_2	2.4.1.315	COG0707	Processive diacylglycerol beta-glucosyltransferase
DDJNIECG_02122	CDS	201	cspD		COG1278	Cold shock protein CspD
DDJNIECG_02123	CDS	183	degR			Regulatory protein DegR
DDJNIECG_02124	CDS	270				hypothetical protein
DDJNIECG_02125	CDS	171				hypothetical protein
DDJNIECG_02126	CDS	681				hypothetical protein
DDJNIECG_02127	CDS	609				hypothetical protein
DDJNIECG_02128	CDS	399	rnhA		COG0328	14.7 kDa ribonuclease H-like protein
DDJNIECG_02129	CDS	129	sspL			Small, acid-soluble spore protein L
DDJNIECG_02130	CDS	891	ypcP	3.1.11.-	COG0258	5'-3' exonuclease
DDJNIECG_02131	CDS	147				hypothetical protein
DDJNIECG_02132	CDS	258				hypothetical protein
DDJNIECG_02133	CDS	3582	der_1			GTPase Der
DDJNIECG_02134	CDS	507				hypothetical protein
DDJNIECG_02135	CDS	1098		2.3.1.-	COG3424	Alpha-pyrone synthesis polyketide synthase-like Pks11
DDJNIECG_02136	CDS	1317	pucK_1		COG2233	Uric acid permease PucK
DDJNIECG_02137	CDS	585	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
DDJNIECG_02138	CDS	1506	ypwA	3.4.17.19	COG2317	Carboxypeptidase 1
DDJNIECG_02139	CDS	993	kdgT			2-keto-3-deoxygluconate permease
DDJNIECG_02140	CDS	591	kdgA		COG0800	KHG/KDPG aldolase
DDJNIECG_02141	CDS	975	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
DDJNIECG_02142	CDS	1020	kdgR		COG1609	HTH-type transcriptional regulator KdgR
DDJNIECG_02143	CDS	828	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
DDJNIECG_02144	CDS	765	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
DDJNIECG_02145	CDS	1926	dinG_1	3.6.4.12	COG1199	putative ATP-dependent helicase DinG 
DDJNIECG_02146	CDS	192				hypothetical protein
DDJNIECG_02147	CDS	1158	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
DDJNIECG_02148	CDS	297	gpsB		COG3599	Cell cycle protein GpsB
DDJNIECG_02149	CDS	543				hypothetical protein
DDJNIECG_02150	CDS	1242				hypothetical protein
DDJNIECG_02151	CDS	2250	dbpA_1	3.6.4.13		ATP-dependent RNA helicase DbpA
DDJNIECG_02152	CDS	507	crr			PTS system glucose-specific EIIA component
DDJNIECG_02153	CDS	420				hypothetical protein
DDJNIECG_02154	CDS	378				hypothetical protein
DDJNIECG_02155	CDS	189				hypothetical protein
DDJNIECG_02156	CDS	372	yppE			putative protein YppE
DDJNIECG_02157	CDS	246				hypothetical protein
DDJNIECG_02158	CDS	105	sspM			Small, acid-soluble spore protein M
DDJNIECG_02159	CDS	963				hypothetical protein
DDJNIECG_02160	CDS	621	recU	3.1.22.-	COG3331	Holliday junction resolvase RecU
DDJNIECG_02161	CDS	2745	ponA		COG0744	Penicillin-binding protein 1A/1B
DDJNIECG_02162	CDS	495	ypoC			putative protein YpoC
DDJNIECG_02163	CDS	660	nth	4.2.99.18	COG0177	Endonuclease III
DDJNIECG_02164	CDS	699	dnaD		COG3935	DNA replication protein DnaD
DDJNIECG_02165	CDS	1296	asnS	6.1.1.22		Asparagine--tRNA ligase
DDJNIECG_02166	CDS	1182		2.6.1.1		Aspartate aminotransferase
DDJNIECG_02167	CDS	486	ypmB		COG5353	putative protein YpmB
DDJNIECG_02168	CDS	171				hypothetical protein
DDJNIECG_02169	CDS	2796	dinG_2	3.6.4.12	COG0847	putative ATP-dependent helicase DinG 
DDJNIECG_02170	CDS	384	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
DDJNIECG_02171	CDS	861	panC	6.3.2.1		Pantothenate synthetase
DDJNIECG_02172	CDS	834	panB	2.1.2.11		3-methyl-2-oxobutanoate hydroxymethyltransferase
DDJNIECG_02173	CDS	978	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
DDJNIECG_02174	CDS	1194	cca	2.7.7.72		CCA-adding enzyme
DDJNIECG_02175	CDS	1134	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
DDJNIECG_02176	CDS	711	bshB1	3.5.1.-	COG2120	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1
DDJNIECG_02177	CDS	414	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
DDJNIECG_02178	CDS	804	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
DDJNIECG_02179	CDS	336	ypjD		COG1694	putative protein YpjD
DDJNIECG_02180	CDS	873				hypothetical protein
DDJNIECG_02181	CDS	795				hypothetical protein
DDJNIECG_02182	CDS	594				hypothetical protein
DDJNIECG_02183	CDS	768	petD			Cytochrome b6-f complex subunit 4
DDJNIECG_02184	CDS	675	qcrB		COG1290	Menaquinol-cytochrome c reductase cytochrome b subunit
DDJNIECG_02185	CDS	504	petC_2	1.10.9.1		Cytochrome b6-f complex iron-sulfur subunit
DDJNIECG_02186	CDS	447				hypothetical protein
DDJNIECG_02187	CDS	540				hypothetical protein
DDJNIECG_02188	CDS	1272	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
DDJNIECG_02189	CDS	1287	aroA1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
DDJNIECG_02190	CDS	1116				hypothetical protein
DDJNIECG_02191	CDS	1083	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
DDJNIECG_02192	CDS	804	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
DDJNIECG_02193	CDS	1203	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
DDJNIECG_02194	CDS	648	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
DDJNIECG_02195	CDS	753	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
DDJNIECG_02196	CDS	1017	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
DDJNIECG_02197	CDS	1548	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
DDJNIECG_02198	CDS	384	aroH	5.4.99.5	COG4401	Chorismate mutase AroH
DDJNIECG_02199	CDS	1089	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
DDJNIECG_02200	CDS	1173	aroC	4.2.3.5	COG0082	Chorismate synthase
DDJNIECG_02201	CDS	771	cheR	2.1.1.80		Chemotaxis protein methyltransferase
DDJNIECG_02202	CDS	447	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
DDJNIECG_02203	CDS	1047	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
DDJNIECG_02204	CDS	702	menG	2.1.1.163	COG2226	Demethylmenaquinone methyltransferase
DDJNIECG_02205	CDS	765	hepS	2.5.1.30		Heptaprenyl diphosphate synthase component 1
DDJNIECG_02206	CDS	228	mtrB			Transcription attenuation protein MtrB
DDJNIECG_02207	CDS	573	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
DDJNIECG_02208	CDS	279	hupA		COG0776	DNA-binding protein HU 1
DDJNIECG_02209	CDS	1479	spoIVA	3.6.1.3		Stage IV sporulation protein A
DDJNIECG_02210	CDS	735				hypothetical protein
DDJNIECG_02211	CDS	204				hypothetical protein
DDJNIECG_02212	CDS	1038	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
DDJNIECG_02213	CDS	1311	der_2		COG1160	GTPase Der
DDJNIECG_02214	CDS	195				hypothetical protein
DDJNIECG_02215	CDS	894				hypothetical protein
DDJNIECG_02216	CDS	600				hypothetical protein
DDJNIECG_02217	CDS	132				hypothetical protein
DDJNIECG_02218	CDS	1050	fni	5.3.3.2	COG1304	Isopentenyl-diphosphate delta-isomerase
DDJNIECG_02219	CDS	1149	ypfD		COG0539	30S ribosomal protein S1 
DDJNIECG_02220	CDS	675	cmk	2.7.4.25	COG0283	Cytidylate kinase
DDJNIECG_02221	CDS	177				hypothetical protein
DDJNIECG_02222	CDS	654	ypfA		COG5581	putative protein YpfA
DDJNIECG_02223	CDS	1353	ypeB			Sporulation protein YpeB
DDJNIECG_02224	CDS	918	sleB		COG3409	Spore cortex-lytic enzyme
DDJNIECG_02225	CDS	657	prsW	3.4.-.-	COG2339	Protease PrsW
DDJNIECG_02226	CDS	975		1.18.1.2	COG0492	Ferredoxin--NADP reductase
DDJNIECG_02227	CDS	1284	gudB	1.4.1.2	COG0334	Cryptic catabolic NAD-specific glutamate dehydrogenase GudB
DDJNIECG_02228	CDS	585	mecB		COG4862	Adapter protein MecA 2
DDJNIECG_02229	CDS	780	ypbG_2		COG1408	putative protein YpbG
DDJNIECG_02230	CDS	444				hypothetical protein
DDJNIECG_02231	CDS	723				hypothetical protein
DDJNIECG_02232	CDS	603				hypothetical protein
DDJNIECG_02233	CDS	1491	dbpA_2	3.6.4.13		ATP-dependent RNA helicase DbpA
DDJNIECG_02234	CDS	1059				hypothetical protein
DDJNIECG_02235	CDS	249	fer		COG1141	Ferredoxin
DDJNIECG_02236	CDS	573	fmnP		COG3601	Riboflavin transporter FmnP
DDJNIECG_02237	CDS	1578	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
DDJNIECG_02238	CDS	768	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
DDJNIECG_02239	CDS	1104	rsiX			Anti-sigma-X factor RsiX
DDJNIECG_02240	CDS	585	sigX		COG1595	ECF RNA polymerase sigma factor SigX
DDJNIECG_02241	CDS	1770	resE	2.7.13.3		Sensor histidine kinase ResE
DDJNIECG_02242	CDS	723	srrA_2		COG0745	Transcriptional regulatory protein SrrA
DDJNIECG_02243	CDS	1176	ccsA_1			Cytochrome c biogenesis protein CcsA
DDJNIECG_02244	CDS	1629	ccsB			Cytochrome c biogenesis protein CcsB
DDJNIECG_02245	CDS	540	resA_2			Thiol-disulfide oxidoreductase ResA
DDJNIECG_02246	CDS	735	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
DDJNIECG_02247	CDS	537	spmB			Spore maturation protein B
DDJNIECG_02248	CDS	591	spmA		COG2715	Spore maturation protein A
DDJNIECG_02249	CDS	1149	dacB	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacB
DDJNIECG_02250	CDS	540				hypothetical protein
DDJNIECG_02251	CDS	594	scpB		COG1386	Segregation and condensation protein B
DDJNIECG_02252	CDS	741	scpA		COG1354	Segregation and condensation protein A
DDJNIECG_02253	CDS	525				hypothetical protein
DDJNIECG_02254	CDS	375	ribT	2.3.1.-		Protein RibT
DDJNIECG_02255	CDS	465	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
DDJNIECG_02256	CDS	1197	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
DDJNIECG_02257	CDS	648	ribE	2.5.1.9	COG0307	Riboflavin synthase
DDJNIECG_02258	CDS	1086	ribD		COG0117	Riboflavin biosynthesis protein RibD
DDJNIECG_02259	CDS	345				hypothetical protein
DDJNIECG_02260	CDS	555	sipS	3.4.21.89	COG0681	Signal peptidase I S
DDJNIECG_02261	CDS	207				hypothetical protein
DDJNIECG_02262	CDS	390				hypothetical protein
DDJNIECG_02263	CDS	204				hypothetical protein
DDJNIECG_02264	CDS	213				hypothetical protein
DDJNIECG_02265	CDS	432	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
DDJNIECG_02266	CDS	873	ypuA		COG4086	putative protein YpuA
DDJNIECG_02267	CDS	1326	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
DDJNIECG_02268	CDS	1482	gerXA			Spore germination protein XA
DDJNIECG_02269	CDS	612				hypothetical protein
DDJNIECG_02270	CDS	351				hypothetical protein
DDJNIECG_02271	CDS	1017	spoVAD			Stage V sporulation protein AD
DDJNIECG_02272	CDS	453				hypothetical protein
DDJNIECG_02273	CDS	426				hypothetical protein
DDJNIECG_02274	CDS	621				hypothetical protein
DDJNIECG_02275	CDS	768	sigF		COG1191	RNA polymerase sigma-F factor
DDJNIECG_02276	CDS	441	spoIIAB	2.7.11.1	COG2172	Anti-sigma F factor
DDJNIECG_02277	CDS	354	spoIIAA		COG1366	Anti-sigma F factor antagonist
DDJNIECG_02278	CDS	1170	dacF	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
DDJNIECG_02279	CDS	816	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 1
DDJNIECG_02280	CDS	1185	deoB	5.4.2.7	COG1015	Phosphopentomutase
DDJNIECG_02281	CDS	891	xerD			Tyrosine recombinase XerD
DDJNIECG_02282	CDS	228				hypothetical protein
DDJNIECG_02283	CDS	450	fur		COG0735	Ferric uptake regulation protein
DDJNIECG_02284	CDS	645	spoIIM		COG1300	Stage II sporulation protein M
DDJNIECG_02285	CDS	216				hypothetical protein
DDJNIECG_02286	CDS	1320		1.1.1.38		NAD-dependent malic enzyme
DDJNIECG_02287	CDS	1407	mleN		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
DDJNIECG_02288	CDS	1428	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
DDJNIECG_02289	CDS	990	ansA	3.5.1.1	COG0252	L-asparaginase 1
DDJNIECG_02290	CDS	351				hypothetical protein
DDJNIECG_02291	CDS	1164				hypothetical protein
DDJNIECG_02292	CDS	558	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
DDJNIECG_02293	CDS	123				hypothetical protein
DDJNIECG_02294	CDS	921	iolS_2	1.1.1.-	COG0667	Aldo-keto reductase IolS
DDJNIECG_02295	CDS	348				hypothetical protein
DDJNIECG_02296	CDS	918				hypothetical protein
DDJNIECG_02297	CDS	240				hypothetical protein
DDJNIECG_02298	CDS	324				hypothetical protein
DDJNIECG_02299	CDS	1032				hypothetical protein
DDJNIECG_02300	CDS	342	yqjZ		COG2329	putative protein YqjZ
DDJNIECG_02301	CDS	471	yqjY			putative protein YqjY
DDJNIECG_02302	CDS	339				hypothetical protein
DDJNIECG_02303	CDS	1236	dinB_2	2.7.7.7		DNA polymerase IV
DDJNIECG_02304	CDS	207				hypothetical protein
DDJNIECG_02305	CDS	1233	mdtH_3			Multidrug resistance protein MdtH
DDJNIECG_02306	CDS	159				hypothetical protein
DDJNIECG_02307	CDS	387				hypothetical protein
DDJNIECG_02308	CDS	960	coaA	2.7.1.33	COG1072	Pantothenate kinase
DDJNIECG_02309	CDS	1347	dsdA	4.3.1.18	COG3048	D-serine dehydratase
DDJNIECG_02310	CDS	780		1.-.-.-		putative oxidoreductase
DDJNIECG_02311	CDS	960	gloB_2	3.1.2.6		Hydroxyacylglutathione hydrolase
DDJNIECG_02312	CDS	837	proC_3	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
DDJNIECG_02313	CDS	1644	rocB_1		COG4187	Protein RocB
DDJNIECG_02314	CDS	1017	namA	1.6.99.1	COG1902	NADPH dehydrogenase
DDJNIECG_02315	CDS	762	dhaA	3.8.1.5		Haloalkane dehalogenase
DDJNIECG_02316	CDS	924	rnz	3.1.26.11	COG1234	Ribonuclease Z
DDJNIECG_02317	CDS	1470	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
DDJNIECG_02318	CDS	1410	gndA	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating
DDJNIECG_02319	CDS	1245	dinB_3	2.7.7.7	COG0389	DNA polymerase IV
DDJNIECG_02320	CDS	282	mifM			Membrane protein insertion and folding monitor
DDJNIECG_02321	CDS	828	misCB		COG0706	Membrane protein insertase MisCB
DDJNIECG_02322	CDS	729				hypothetical protein
DDJNIECG_02323	CDS	1116	pepT_1	3.4.11.4	COG2195	Peptidase T
DDJNIECG_02324	CDS	1530	pccB	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
DDJNIECG_02325	CDS	423				hypothetical protein
DDJNIECG_02326	CDS	93				hypothetical protein
DDJNIECG_02327	CDS	531				hypothetical protein
DDJNIECG_02328	CDS	969				hypothetical protein
DDJNIECG_02329	CDS	723	artM		COG1126	Arginine transport ATP-binding protein ArtM
DDJNIECG_02330	CDS	660	artQ		COG0765	Arginine transport system permease protein ArtQ
DDJNIECG_02331	CDS	768	artP		COG0834	Arginine-binding extracellular protein ArtP
DDJNIECG_02332	CDS	438				hypothetical protein
DDJNIECG_02333	CDS	894	bmrU	2.7.1.-	COG1597	Putative lipid kinase BmrU
DDJNIECG_02334	CDS	1170	tetA_2			Tetracycline resistance protein, class B
DDJNIECG_02335	CDS	837	bmrR		COG0789	Multidrug-efflux transporter 1 regulator
DDJNIECG_02336	CDS	1275	pdhC_3	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
DDJNIECG_02337	CDS	984	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
DDJNIECG_02338	CDS	993	bfmBAA	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
DDJNIECG_02339	CDS	1425	pdhD_3	1.8.1.4		Dihydrolipoyl dehydrogenase
DDJNIECG_02340	CDS	1086	buk2	2.7.2.7	COG3426	Butyrate kinase 2
DDJNIECG_02341	CDS	1095	ldh_2	1.4.1.9	COG0334	Leucine dehydrogenase
DDJNIECG_02342	CDS	900	pta_1	2.3.1.8	COG0280	Phosphate acetyltransferase
DDJNIECG_02343	CDS	2079	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
DDJNIECG_02344	CDS	237				hypothetical protein
DDJNIECG_02345	CDS	906	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
DDJNIECG_02346	CDS	1419	prpD	4.2.1.79	COG2079	2-methylcitrate dehydratase
DDJNIECG_02347	CDS	1119	mmgD	2.3.3.5	COG0372	2-methylcitrate synthase
DDJNIECG_02348	CDS	1140	mmgC	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
DDJNIECG_02349	CDS	864	mmgB	1.1.1.157	COG1250	putative 3-hydroxybutyryl-CoA dehydrogenase
DDJNIECG_02350	CDS	1182	mmgA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
DDJNIECG_02351	CDS	732	glpQ_3	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
DDJNIECG_02352	CDS	615	lytC_1	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase LytC
DDJNIECG_02353	CDS	294				hypothetical protein
DDJNIECG_02354	CDS	1149		1.-.-.-		putative oxidoreductase
DDJNIECG_02355	CDS	114				hypothetical protein
DDJNIECG_02356	CDS	804	spo0A		COG0784	Stage 0 sporulation protein A
DDJNIECG_02357	CDS	1281	spoIVB	3.4.21.116	COG0750	SpoIVB peptidase
DDJNIECG_02358	CDS	1731	recN		COG0497	DNA repair protein RecN
DDJNIECG_02359	CDS	450	argR		COG1438	Arginine repressor
DDJNIECG_02360	CDS	846	tlyA		COG1189	Hemolysin A
DDJNIECG_02361	CDS	1902	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
DDJNIECG_02362	CDS	891		2.5.1.10		Farnesyl diphosphate synthase
DDJNIECG_02363	CDS	255	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
DDJNIECG_02364	CDS	1347	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
DDJNIECG_02365	CDS	852	folD		COG0190	Bifunctional protein FolD protein
DDJNIECG_02366	CDS	396	nusB			Transcription antitermination protein NusB
DDJNIECG_02367	CDS	408				hypothetical protein
DDJNIECG_02368	CDS	1353	accC	6.3.4.14	COG0439	Biotin carboxylase
DDJNIECG_02369	CDS	480	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
DDJNIECG_02370	CDS	657	spoIIIAH			Stage III sporulation protein AH
DDJNIECG_02371	CDS	690				hypothetical protein
DDJNIECG_02372	CDS	621				hypothetical protein
DDJNIECG_02373	CDS	1200	spoIIIAE			Stage III sporulation protein AE
DDJNIECG_02374	CDS	402				hypothetical protein
DDJNIECG_02375	CDS	207				hypothetical protein
DDJNIECG_02376	CDS	516	spoIIIAB			Stage III sporulation protein AB
DDJNIECG_02377	CDS	924				hypothetical protein
DDJNIECG_02378	CDS	282				hypothetical protein
DDJNIECG_02379	CDS	558	efp			Elongation factor P
